Final_cat,Brand,username,date of scrape
Alcohol,Hennessy,hennessy,
Alcohol,Modelo,modelousa,
Alcohol,Skol,skol,
Alcohol,Guinness,guinness,
Alcohol,Corona,corona,
Alcohol,Jack Daniel’s,jackdaniels_us,
Alcohol,Michelob Ultra,michelobultra,
Alcohol,Heineken,heineken,
Alcohol,Budweiser,budweiser,
Alcohol,Brahma,brahmacerveja,
Alcohol,Bud Light,budlight,
Alcohol,Victoria,cerveza.victoria,
Alcohol,Stella Artois,stellaartois,
Automobiles,Ford,ford,
Automobiles,Lexus,lexususa,
Automobiles,Suzuki,suzukicycles,
Automobiles,BYD,byd_global,
Automobiles,Audi,audi,
Automobiles,Kia,kia.worldwide,
Automobiles,Mercedes-Benz,mercedesbenz,
Automobiles,GMC,gmc,
Automobiles,Porsche,Porsche,
Automobiles,Hyundai,hyundai,
Automobiles,Chevrolet,chevrolet,
Automobiles,Nissan,nissan,
Automobiles,BMW,bmw,
Automobiles,Honda,honda,
Automobiles,Volkswagen,volkswagen,
Automobiles,Volvo,Volvocars,
Automobiles,Renault,renaultgroup,
Automobiles,Jeep,jeep,
Automobiles,Subaru,subaru_usa,
Automobiles,Maruti Suzuki,marutisuzukiofficial,
Banking,BBVA,bbva,
Banking,Lloyds Bank,lloyds.bank,
Banking,Fidelity,fidelityinvestments,
Banking,Crédit Mutuel,creditmutuel,
Banking,Société Générale,societegenerale,
Banking,PayPal,paypal,
Banking,VISA,visa,
Banking,Bank of America,bankofamerica,
Banking,American Express,americanexpress,
Banking,BlackRock,blackrock,
Banking,Chase,chase,
Banking,DBS,dbsbank,
Banking,Mastercard,mastercard,
Banking,TD,td_canada,
Banking,Wells Fargo,wellsfargo,
Banking,Banco do Brasil,bancodobrasil,
Banking,Morgan Stanley,morgan.stanley,
Banking,Citi,citi,
Banking,Santander,santander.global,
Banking,Barclays,barclaysuk,
Banking,RBC,rbc,
Banking,BNP Paribas,bnpparibas,
Banking,Charles Schwab,charlesschwab,
Banking,Brookfield,brookfieldassetmanagement,
Banking,U.S. Bank,usbank,
Banking,Intesa Sanpaolo,intesasanpaolo,
Banking,Commonwealth Bank,commbank,
Banking,Scotiabank,scotiabank,
Banking,BMO,bmocanada,
Banking,QNB,qnbgroup,
Banking,Truist,truist,
Banking,CIBC,cibc,
Banking,Itaú,itau,
Banking,Deutsche Bank,deutschebank,
Banking,Al-Rajhi Bank,alrajhibank,
Banking,BRI,bankbri_id,
Banking,KB Financial Group,kb.financialgroup,
Banking,CaixaBank,caixabank,
Banking,PNC,pncbank,
Banking,Crédit Agricole,creditagricole,
Banking,Erste,erstebank.sparkasse/,
Banking,OCBC Bank,ocbcbank,
Banking,Mizuho Financial Group,mizuho.group,
Banking,Bank Mandiri,bankmandiri,
Banking,NAB,nab,
Banking,Swedbank,swedbanksverige,
Banking,BCA,goodlifebca,
Banking,CommBank,commbank,
Banking,Mercado Pago,mercadopagobr,
Banking,Stripe,stripehq,
Business Tech & Services,Microsoft,microsoft,
Business Tech & Services,ServiceNow,servicenow,
Business Tech & Services,Adobe,adobe,
Business Tech & Services,Oracle,oracle,
Business Tech & Services,QuickBooks,quickbooks,
Business Tech & Services,IBM,ibm,
Business Tech & Services,Snapdragon,snapdragonofficial,
Business Tech & Services,HCLTech,hcltech,
Business Tech & Services,SAP,sap,
Business Tech & Services,Cisco,cisco,
Business Tech & Services,Amazon Web Services,amazonwebservices,
Business Tech & Services,VMware,vmware,
Business Tech & Services,Accenture,accenture,
Business Tech & Services,Capgemini,capgemini,
Business Tech & Services,Cognizant,cognizant,
Business Tech & Services,Infosys,Infosys,
Business Tech & Services,Salesforce,salesforce,
Business Tech & Services,HPE,hpe,
Business Tech & Services,Intuit,intuit,
Business Tech & Services,Tata Consultancy Services,tcsglobal,
Commercial Services,Discover,discover,
