brand,username,user_id,fbid,fb_profile_biolink,category_name,is_verified,is_business_account,is_professional_account,biography,external_url,followers,following,posts_count,bio_links_count,profile_pic_url_hd,is_private_detailed,business_phone_number,business_email,city_name,city_id,latitude,longitude,street_address,zip_code
Microsoft,microsoft,524549267,17841400158018196,,,True,True,True,running on iced coffee and deadlines,https://msft.it/6001Qzie9,4541632,302,1306,5,https://instagram.fmcz12-1.fna.fbcdn.net/v/t51.2885-19/581630578_18551853085005268_6149777351985936371_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fmcz12-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QFQIh8_NA1lP2PMavUVBvM_3Ga0Q6H2JTS0BY58P7OxSDWu91wzkqXvltxMlAvYeSw&_nc_ohc=qtCLHasYYlwQ7kNvwHW_4hV&_nc_gid=76eSmV7erNF3BFZYakbD_w&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfssBCrLn_G0G3VSL-qjcWRnF_Q9KOIec0q_HcPWQYxi1A&oe=699BDD37&_nc_sid=8b3546,False,,,"Redmond, Washington",109738839051539,47.6694,-122.124,,
Google,google,1067259270,17841401778116675,,Internet company,True,True,True,Here to help,https://linkin.bio/google,15727410,40,3119,1,https://instagram.fksc2-1.fna.fbcdn.net/v/t51.2885-19/628719393_18573357544059271_867117168063154483_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fksc2-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGvJJX4WAbQVJiHW7o7dNWa8qQzi7IlYuhMarCoYCWeI3Kzgmq99KZH1qjRm9byAl0&_nc_ohc=3VAEgXmPnzoQ7kNvwGJwoA9&_nc_gid=tG0nvnHuFufNX76vHLBGyQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfskR97rdE6-fS_4BVm2SXOFHpk9cZwYW61cKK7sWwPAfw&oe=699BE29F&_nc_sid=8b3546,False,,,,,,,,
Google,googlepixel,8482988871,17841408546140373,,Community Organization,True,True,True,A perfect 10 📱,https://goo.gle/4rqwC6F,1320749,24,1142,1,https://instagram.fhyd11-2.fna.fbcdn.net/v/t51.2885-19/535851917_18288667816284872_3274364365496847496_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fhyd11-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QG3fAy1jq18ry-Lb8Uy012L7EEeLZl2WQ1wj3mvYr0fpkXcgfDB91U1vJOVpc3fltY&_nc_ohc=Ezhp6Yqh5qAQ7kNvwHuBZyT&_nc_gid=UFF6RCK2dYT_uSAYy719eQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfunS2R2jU_vYIVR_gPqgTl0Vy9QHDOxhTOUc3Q6-yPxrg&oe=699BECDA&_nc_sid=8b3546,False,,,"Mountain View, California",108212625870265,37.38967,-122.08161,,
Google,madebygoogle,4512854723,17841404521714106,,,True,True,True,"Designed for your everyday.
#Pixel10, 10 Pro, 10 Pro Fold & 10a with @GoogleGemini, #PixelWatch, #PixelBuds, #PixelTablet, #GoogleNest & @Fitbit",https://goo.gle/4s1jm8s,1427048,34,1126,1,https://scontent-nrt1-2.cdninstagram.com/v/t51.2885-19/559663389_18376521961150724_1055732466496712355_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QF22g0ewF7ZV2c-3lX3DF4ilLEROi2MJusp4s30_Bc918fXYZZneFqcY3NOvF8QVq7kdsY8zZqcQf-eND5REyUu&_nc_ohc=P4hzmrVnKC0Q7kNvwF5ESvP&_nc_gid=7A3vbKpKVFFjJjtI2sAhdw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfsxUN9yuBh4i393eEgFYfsGymHcmQQdc-kM760tMSx85w&oe=699BDAA1&_nc_sid=8b3546,False,,,,,,,,
Deutsche Telekom,deutschetelekom,2160231852,17841402395560028,,,True,True,True,"Content wie unser Netz: schnell, stabil, Magenta. 💖",http://www.telekom.com/impressum,92809,317,2805,5,https://scontent-fco2-1.cdninstagram.com/v/t51.2885-19/588592318_18493155853079853_4821657784614989054_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDAwLmMyIn0&_nc_ht=scontent-fco2-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QFo784GqiqUUgcc3w409_izeqX7vF9ZZFAszXqeK7yM5XqBnFLX0NZODPZ285PsWbQ&_nc_ohc=oG42A_fx6QcQ7kNvwGkP_Hc&_nc_gid=iB887D2oG3qr0cDBga-44Q&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfuJLLMaLuPm1DsRwIBC9xnwDSIyMk7ZdVQ1j4-dS9mBgw&oe=699BE947&_nc_sid=8b3546,False,,,,,,,,
Instagram,instagram,25025320,17841400039600391,,,True,False,True,Watch the latest episode of Close Friends Only,https://www.youtube.com/watch?v=v8n-AOe200s,699710031,201,8338,1,https://instagram.fcdg1-1.fna.fbcdn.net/v/t51.2885-19/550891366_18667771684001321_1383210656577177067_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmV4cGVyaW1lbnRhbCJ9&_nc_ht=instagram.fcdg1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QHFr9_wLnWToObusgPib2TDUTmyvoc5sdDJGgkzilfNRlNN3jMylaJbqRKyflU0oIE&_nc_ohc=3hDkibRX990Q7kNvwFJedYY&_nc_gid=7tIaDc7LpxNRyXI-6etz0Q&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfvTM_VA4-AbuFN-7HshuzwG5NleJp0oWtYQQ1su19H5Gw&oe=699BFA31&_nc_sid=8b3546,False,,,,,,,,
UnitedHealthcare,unitedhealthcare,2121639359,17841402140795204,,,True,True,True,Helping people live healthier lives,https://uhc.care/instagram,36821,21,623,1,https://instagram.fist7-1.fna.fbcdn.net/v/t51.2885-19/115924309_594318621135930_1072155644089710314_n.jpg?efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=instagram.fist7-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QESTCq8na0W0kdb5AlmEp6PVyq2BgMzduEXIWGA6akAQi7R0cQ1J0-OMfh9Ocvnm0U&_nc_ohc=BfkmI5nSk7wQ7kNvwGcISoe&_nc_gid=vcjJXpkKi2m2IVXk78SbGw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfsIkRTBXlxOkiikYrauMj5Bg-1LR7UaAVh-LPHAnl07ZQ&oe=699BEBC9&_nc_sid=8b3546,False,,,"Minnetonka, Minnesota",109533479072558,44.932,-93.4616,,
Allianz,allianz,214036577,17841400617313344,,,True,True,True,Insuring the world for 135 years. #StepIntoLife,https://www.allianz.com/en/privacy-statement.html,156605,116,530,5,https://instagram.fhmo2-4.fna.fbcdn.net/v/t51.2885-19/229910399_359425735591618_187484384959667716_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjAuYzIifQ&_nc_ht=instagram.fhmo2-4.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QFR0-TMKylF7bk-A2zutqkL8qYP3Ei_aeqQ6H5z5bx0YNB8ezS8ndmS2FYzvq3Eh2rhAR7pPw5SKGs1eMyzb7Zy&_nc_ohc=Z2KkAsObuWkQ7kNvwEt1uzx&_nc_gid=m4JXagFNila5cWcDdD9MSg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfuKaq5deA6UgyrepVbkA-MNqVlNHfor-nzkk-AgwPDQ7g&oe=699BD549&_nc_sid=8b3546,False,,,,,,,,
Shell,shell,588282712,17841401761369191,,,True,True,True,Connecting people and energy #PoweringProgress⚡️,https://go.shell.com/global,489266,29,176,1,https://scontent-icn2-1.cdninstagram.com/v/t51.2885-19/11875495_886647324717974_200210145_a.jpg?efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=scontent-icn2-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QFpv4wQBQrcCLD3pp-2tXjKZt8e2aDOUZAzTE4_yVh4tN1k04AFmqbCsFCyRVF4sOw&_nc_ohc=QvFUqluH3DMQ7kNvwHHeO8i&_nc_gid=vSCXl0a1TVoblftgQK-RLA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Afs2ZR4Ot7lAwAJ3cdoPwZDePLCiJbm1phcW6ZM2WfYthw&oe=699C0711&_nc_sid=8b3546,False,,,,,,,,
Aramco,aramco,1815950256,17841400427708374,,,True,True,True,where energy is opportunity,http://aramco.com/,761960,5,1208,1,https://scontent-mia5-1.cdninstagram.com/v/t51.2885-19/11142317_881413848588839_471427014_a.jpg?efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QGyRi_DmYksK7KD-2Tjp3bpVCiN3Vhj48BpdFe6qhBQyYcapTRJ-v6kQfRqfmLlswNs3_st6WHD3Er-7PL07xL4&_nc_ohc=tPe_iSpccW0Q7kNvwEuBew-&_nc_gid=MTdJFV7Acb2LCCFtF0FmuA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfvdscPSWLq7afWh2YS1dNp23a93RDJDW9502UU7dK1v8Q&oe=699C00A5&_nc_sid=8b3546,False,,,,,,,,
