brand,username,user_id,fbid,fb_profile_biolink,category_name,is_verified,is_business_account,is_professional_account,biography,external_url,followers,following,posts_count,bio_links_count,profile_pic_url_hd,is_private_detailed,business_type,business_email,city_name,city_id,latitude,longitude,street_address,zip_code,profile_pic_title,result,error_message,profile_pic_scrape_ts
Allianz,allianz,214036577.0,1.7841400617313344e+16,,,True,True,True,Insuring the world for 135 years. #StepIntoLife,https://www.allianz.com/en/privacy-statement.html,156605.0,116.0,530.0,5.0,https://instagram.fhmo2-4.fna.fbcdn.net/v/t51.2885-19/229910399_359425735591618_187484384959667716_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjAuYzIifQ&_nc_ht=instagram.fhmo2-4.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QFR0-TMKylF7bk-A2zutqkL8qYP3Ei_aeqQ6H5z5bx0YNB8ezS8ndmS2FYzvq3Eh2rhAR7pPw5SKGs1eMyzb7Zy&_nc_ohc=Z2KkAsObuWkQ7kNvwEt1uzx&_nc_gid=m4JXagFNila5cWcDdD9MSg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfuKaq5deA6UgyrepVbkA-MNqVlNHfor-nzkk-AgwPDQ7g&oe=699BD549&_nc_sid=8b3546,False,B2C,,,,,,,,214036577.0,failed,HTTP 403,1771882585
Amazon Web Services,amazonwebservices,1437392412.0,1.784140049238246e+16,,,True,True,True,Amazon Web Services (AWS),https://go.aws/linkinbio,745521.0,34.0,2265.0,1.0,https://scontent-ham3-1.cdninstagram.com/v/t51.2885-19/519610874_18518185246016413_8513266898904296858_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby40MDAuYzIifQ&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QFdQV6CwMRVuSMwQMWKj4puH88XRYPngwvL6jlZ5mz7uEX2rmcS6WqglCHfVuGNa0E&_nc_ohc=2QJzxfQ9P3cQ7kNvwFoYjZg&_nc_gid=1pZNEh4DC_teKCH9vA12AQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Afua7GzFpKLyQVkzKFfyB8uZCfR9UWILql-i5WWMeNDAYQ&oe=699BDDF1&_nc_sid=8b3546,False,B2B,,,,,,,,1437392412.0,failed,HTTP 403,1771882585
Aramco,aramco,1815950256.0,1.7841400427708374e+16,,,True,True,True,where energy is opportunity,http://aramco.com/,761960.0,5.0,1208.0,1.0,https://scontent-mia5-1.cdninstagram.com/v/t51.2885-19/11142317_881413848588839_471427014_a.jpg?efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QGyRi_DmYksK7KD-2Tjp3bpVCiN3Vhj48BpdFe6qhBQyYcapTRJ-v6kQfRqfmLlswNs3_st6WHD3Er-7PL07xL4&_nc_ohc=tPe_iSpccW0Q7kNvwEuBew-&_nc_gid=MTdJFV7Acb2LCCFtF0FmuA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfvdscPSWLq7afWh2YS1dNp23a93RDJDW9502UU7dK1v8Q&oe=699C00A5&_nc_sid=8b3546,False,B2B,,,,,,,,1815950256.0,failed,HTTP 403,1771882586
Budweiser,budweiser,,,,,,,,,,,,,,,,B2C,,,,,,,,,failed,Missing user_id,1771882586
Coca-Cola,cocacola,249655166.0,1.78414016549839e+16,,,True,True,True,Classic since always.,https://jbalvin.lnk.to/Jump,3297555.0,321.0,111.0,1.0,https://instagram.fktp2-1.fna.fbcdn.net/v/t51.2885-19/523950056_18523651255055167_2245698456638123079_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDUyLmMyIn0&_nc_ht=instagram.fktp2-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QFOqv4oHxiYDPRPaHe1WmHz73NmDgjpWgeqVsWzr-hyRdfyQSv0YTkVuC3KS0B-_ME&_nc_ohc=MTyM4XHDS2cQ7kNvwF2sl2q&_nc_gid=ZlGZyxb5YxVTYs3y8LxjTw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Aft-vHJEUf8QNLENz_huLcfHNGC8pVll63E0fZt4EnXnGw&oe=699F8BE8&_nc_sid=8b3546,False,B2C,,,,,,,,249655166.0,success,,1771882586
Deloitte,deloitte,2866331.0,1.7841401509930044e+16,,,True,True,True,"At Deloitte, we make an impact that matters.",http://deloi.tt/visitsite,326383.0,91.0,1665.0,1.0,https://instagram.fruh4-6.fna.fbcdn.net/v/t51.2885-19/363883867_660645715934935_2865896208897472178_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41NDUuYzIifQ&_nc_ht=instagram.fruh4-6.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QFc73rwCQvTTFS_F-CYQR4nD9FBGno-0M0OfIzoCjH6XljMfARuvyw3dj1YP_fzm0s&_nc_ohc=PI7qJeU0nScQ7kNvwETrjvy&_nc_gid=saBVq1YzQWJc08zvxcsfJw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfvAnU3ukOYRPaHq9u3Dshth9xfJp-16wk3JdmxIRWEykw&oe=699BD64D&_nc_sid=8b3546,False,B2B,,,,,,,,2866331.0,failed,HTTP 403,1771882586
Deutsche Telekom,deutschetelekom,2160231852.0,1.7841402395560028e+16,,,True,True,True,"Content wie unser Netz: schnell, stabil, Magenta. 💖",http://www.telekom.com/impressum,92809.0,317.0,2805.0,5.0,https://scontent-fco2-1.cdninstagram.com/v/t51.2885-19/588592318_18493155853079853_4821657784614989054_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDAwLmMyIn0&_nc_ht=scontent-fco2-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QFo784GqiqUUgcc3w409_izeqX7vF9ZZFAszXqeK7yM5XqBnFLX0NZODPZ285PsWbQ&_nc_ohc=oG42A_fx6QcQ7kNvwGkP_Hc&_nc_gid=iB887D2oG3qr0cDBga-44Q&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfuJLLMaLuPm1DsRwIBC9xnwDSIyMk7ZdVQ1j4-dS9mBgw&oe=699BE947&_nc_sid=8b3546,False,B2B,,,,,,,,2160231852.0,failed,HTTP 403,1771882587
Google,google,1067259270.0,1.7841401778116676e+16,,Internet company,True,True,True,Here to help,https://linkin.bio/google,15727410.0,40.0,3119.0,1.0,https://instagram.fksc2-1.fna.fbcdn.net/v/t51.2885-19/628719393_18573357544059271_867117168063154483_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fksc2-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGvJJX4WAbQVJiHW7o7dNWa8qQzi7IlYuhMarCoYCWeI3Kzgmq99KZH1qjRm9byAl0&_nc_ohc=3VAEgXmPnzoQ7kNvwGJwoA9&_nc_gid=tG0nvnHuFufNX76vHLBGyQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfskR97rdE6-fS_4BVm2SXOFHpk9cZwYW61cKK7sWwPAfw&oe=699BE29F&_nc_sid=8b3546,False,B2C,,,,,,,,1067259270.0,failed,HTTP 403,1771882587
Google,googlepixel,8482988871.0,1.7841408546140372e+16,,Community Organization,True,True,True,A perfect 10 📱,https://goo.gle/4rqwC6F,1320749.0,24.0,1142.0,1.0,https://instagram.fhyd11-2.fna.fbcdn.net/v/t51.2885-19/535851917_18288667816284872_3274364365496847496_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fhyd11-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QG3fAy1jq18ry-Lb8Uy012L7EEeLZl2WQ1wj3mvYr0fpkXcgfDB91U1vJOVpc3fltY&_nc_ohc=Ezhp6Yqh5qAQ7kNvwHuBZyT&_nc_gid=UFF6RCK2dYT_uSAYy719eQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfunS2R2jU_vYIVR_gPqgTl0Vy9QHDOxhTOUc3Q6-yPxrg&oe=699BECDA&_nc_sid=8b3546,False,B2C,,"Mountain View, California",108212625870265.0,37.38967,-122.08161,,,8482988871.0,failed,HTTP 403,1771882588
Google,madebygoogle,4512854723.0,1.7841404521714106e+16,,,True,True,True,"Designed for your everyday.
#Pixel10, 10 Pro, 10 Pro Fold & 10a with @GoogleGemini, #PixelWatch, #PixelBuds, #PixelTablet, #GoogleNest & @Fitbit",https://goo.gle/4s1jm8s,1427048.0,34.0,1126.0,1.0,https://scontent-nrt1-2.cdninstagram.com/v/t51.2885-19/559663389_18376521961150724_1055732466496712355_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QF22g0ewF7ZV2c-3lX3DF4ilLEROi2MJusp4s30_Bc918fXYZZneFqcY3NOvF8QVq7kdsY8zZqcQf-eND5REyUu&_nc_ohc=P4hzmrVnKC0Q7kNvwF5ESvP&_nc_gid=7A3vbKpKVFFjJjtI2sAhdw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfsxUN9yuBh4i393eEgFYfsGymHcmQQdc-kM760tMSx85w&oe=699BDAA1&_nc_sid=8b3546,False,B2B,,,,,,,,4512854723.0,failed,HTTP 403,1771882589
Instagram,instagram,25025320.0,1.7841400039600392e+16,,,True,False,True,Watch the latest episode of Close Friends Only,https://www.youtube.com/watch?v=v8n-AOe200s,699710031.0,201.0,8338.0,1.0,https://instagram.fcdg1-1.fna.fbcdn.net/v/t51.2885-19/550891366_18667771684001321_1383210656577177067_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmV4cGVyaW1lbnRhbCJ9&_nc_ht=instagram.fcdg1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QHFr9_wLnWToObusgPib2TDUTmyvoc5sdDJGgkzilfNRlNN3jMylaJbqRKyflU0oIE&_nc_ohc=3hDkibRX990Q7kNvwFJedYY&_nc_gid=7tIaDc7LpxNRyXI-6etz0Q&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfvTM_VA4-AbuFN-7HshuzwG5NleJp0oWtYQQ1su19H5Gw&oe=699BFA31&_nc_sid=8b3546,False,B2C,,,,,,,,25025320.0,failed,HTTP 403,1771882590
J.P. Morgan,jpmorganprivatebank,48808232146.0,1.7841448724391028e+16,,Financial service,True,True,True,Join us for a view into the elevated experience of the J.P. Morgan Private Bank. See link below to learn more. Disclosures/terms: bit.ly/JPM_PB,http://spr.ly/jpmorganprivatebank,124524.0,3.0,725.0,1.0,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/243342161_337679344803135_1526765263018515015_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42MjUuYzIifQ&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QEgHGtmENQSYP-OS2JSCFe1mc7FjlZoGoN3Gi3I2hORVW4NSeSMM-_4dZEIciT0Svo&_nc_ohc=mUFxEfLHnX0Q7kNvwFLamRi&_nc_gid=sg7fAdWGArEAs9vimNxJJQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfvUGWe9mENQo9s7otiuxp8YtbQS0ntEH0oOy73WrXJW7Q&oe=699BE0A2&_nc_sid=8b3546,False,B2C,,,,,,,,48808232146.0,failed,HTTP 403,1771882590
Loreal,lorealparis,1323766664.0,1.7841401639940684e+16,,,True,True,True,"Because we are all worth it.
Show us your worth with #LOrealParisFamily 
#ForBeautyWithoutAnimalTesting
Stand Up against street harassment #WeStandUP",https://linkin.bio/lorealparis,11937585.0,58.0,5670.0,1.0,https://instagram.fcdg3-1.fna.fbcdn.net/v/t51.2885-19/432099725_1962598327469507_6366856830034384284_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zMjAuYzIifQ&_nc_ht=instagram.fcdg3-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QEpj6vYdy-xSwn2YbPsqCZPIghFhzMtICqvZKh91X3Lw1cwGtDZHeoZx_FG7XJyaTs&_nc_ohc=d6hqeFfyzWwQ7kNvwEH1gjo&_nc_gid=s0PswrJtS7OEkXqxJMJOfA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfumR3ZK-qO5O8C-TU0kUtgCJ82Or97PV7KVBJFqt46piA&oe=699FAA56&_nc_sid=8b3546,False,B2C,,,,,,,,1323766664.0,success,,1771882590
McDonald,mcdonalds,18343150.0,1.7841401174500286e+16,,,True,True,True,grimace is a close personal friend of mine,https://youtu.be/fXvEvcTGNPM,5512232.0,554.0,491.0,2.0,https://instagram.fiev21-2.fna.fbcdn.net/v/t51.2885-19/628317992_18566765008039151_4375812884662598823_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby40MDAuYzIifQ&_nc_ht=instagram.fiev21-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QHQYeEZaGX-U5iyyoTmMmrVFMj0JsahTgEo_uhfGjQhNrcE7Av7MTthawMiOW_L1zo&_nc_ohc=wg7B5aRN0sYQ7kNvwEYcebh&_nc_gid=oAKamGgvSnhNKYk80WOR6g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Aftd2qimlECSsTlwbAnDSnkCybNbm9IRl1kQQxOvsM4Lyg&oe=699FB0ED&_nc_sid=8b3546,False,B2C,,,,,,,,18343150.0,success,,1771882590
Microsoft,microsoft,524549267.0,1.7841400158018196e+16,,,True,True,True,running on iced coffee and deadlines,https://msft.it/6001Qzie9,4541632.0,302.0,1306.0,5.0,https://instagram.fmcz12-1.fna.fbcdn.net/v/t51.2885-19/581630578_18551853085005268_6149777351985936371_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fmcz12-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QFQIh8_NA1lP2PMavUVBvM_3Ga0Q6H2JTS0BY58P7OxSDWu91wzkqXvltxMlAvYeSw&_nc_ohc=qtCLHasYYlwQ7kNvwHW_4hV&_nc_gid=76eSmV7erNF3BFZYakbD_w&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfssBCrLn_G0G3VSL-qjcWRnF_Q9KOIec0q_HcPWQYxi1A&oe=699BDD37&_nc_sid=8b3546,False,B2C,,"Redmond, Washington",109738839051539.0,47.6694,-122.124,,,524549267.0,failed,HTTP 403,1771882590
