run_id,user_id,username,brand,started_at,ended_at,status,pages_fetched,posts_fetched,error_type,error_message,raw_files
20260202_112403,20269764,adidas,adidas,2026-02-02T11:24:03.407264,2026-02-02T11:24:12.829385,success,2,40,,,adidas_20260202_112403_page1.json;adidas_20260202_112403_page2.json
20260202_112412,9187952,adidasoriginals,adidas,2026-02-02T11:24:12.836209,2026-02-02T11:24:34.712354,success,2,40,,,adidasoriginals_20260202_112412_page1.json;adidasoriginals_20260202_112412_page2.json
20260202_112434,13460080,nike,nike,2026-02-02T11:24:34.714960,2026-02-02T11:24:43.687223,success,2,40,,,nike_20260202_112434_page1.json;nike_20260202_112434_page2.json
20260202_112443,529358548,nikesportswear,nike,2026-02-02T11:24:43.691309,2026-02-02T11:24:56.599526,success,2,40,,,nikesportswear_20260202_112443_page1.json;nikesportswear_20260202_112443_page2.json
20260205_090635,43109246,bmw,BMW,2026-02-05T09:06:35.067459,2026-02-05T09:07:35.399101,failed,0,0,unknown,"HTTPSConnectionPool(host='ensembledata.com', port=443): Read timed out. (read timeout=60)",bmw_20260205_090635_page1_ERROR.json
20260205_090735,602725764,zara,Zara,2026-02-05T09:07:35.405767,2026-02-05T09:08:35.669963,failed,0,0,unknown,"HTTPSConnectionPool(host='ensembledata.com', port=443): Read timed out. (read timeout=60)",zara_20260205_090735_page1_ERROR.json
20260205_090835,9690391,chipotle,Chipotle,2026-02-05T09:08:35.675216,2026-02-05T09:09:36.131270,failed,0,0,unknown,"HTTPSConnectionPool(host='ensembledata.com', port=443): Read timed out. (read timeout=60)",chipotle_20260205_090835_page1_ERROR.json
20260205_091714,43109246,bmw,BMW,2026-02-05T09:17:14.914841,2026-02-05T09:20:55.362674,partial,3,750,daily_quota_exhausted,495 Client Error:  for url: https://ensembledata.com/apis/instagram/user/posts?user_id=43109246&depth=25&chunk_size=10&start_cursor=QVFETExpUExoVUNROUtsazJGWkQ2SmNYZ0JuM2Rvc2FJcTNENExhSHg0X0drUUVNNDZoYWppeUU0cmNxLUxsdVRiTF9HcG9WNFh5MWwwckV0LUZ1QWNQeQ%3D%3D&alternative_method=False&token=vKLIay8miZKARJKU,bmw_20260205_091714_page1.json;bmw_20260205_091714_page2.json;bmw_20260205_091714_page3.json;bmw_20260205_091714_page4_ERROR.json
20260205_092055,602725764,zara,Zara,2026-02-05T09:20:55.389220,2026-02-05T09:20:55.524504,failed,0,0,daily_quota_exhausted,495 Client Error:  for url: https://ensembledata.com/apis/instagram/user/posts?user_id=602725764&depth=25&chunk_size=10&start_cursor=&alternative_method=False&token=vKLIay8miZKARJKU,zara_20260205_092055_page1_ERROR.json
20260205_092055,9690391,chipotle,Chipotle,2026-02-05T09:20:55.528778,2026-02-05T09:20:55.662670,failed,0,0,daily_quota_exhausted,495 Client Error:  for url: https://ensembledata.com/apis/instagram/user/posts?user_id=9690391&depth=25&chunk_size=10&start_cursor=&alternative_method=False&token=vKLIay8miZKARJKU,chipotle_20260205_092055_page1_ERROR.json
