brand,username
Allianz,allianz
Amazon Web Services,amazonwebservices
Aramco,aramco
Budweiser,budweiser
Coca-Cola,cocacola
Deloitte,deloitte
Deutsche Telekom,deutschetelekom
Google,google
Google,googlepixel
Google,madebygoogle
Instagram,instagram
J.P. Morgan,jpmorganprivatebank
Loreal,lorealparis
McDonald,mcdonalds
Microsoft,microsoft
Moutai,moutai.china
NVIDIA,nvidia
Shell,shell
Siemens,siemens
Telekom / T-Mobile,tmobile
UnitedHealthcare,unitedhealthcare
Walmart,walmart
adidas,adidas
Nike,nike
BMW,bmw
